s58,455,"[]",.
s243,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Put Down']",.
s243,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up']",.
s243,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward']",.
s243,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",.
s243,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down']",.
s243,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down']",.
s243,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down']",.
s243,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down']",.
s243,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s243,314,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s243,319,"['Forward', 'Forward']",ERROR
s243,319,"['Forward', 'Forward']",ERROR
s243,319,"['Forward', 'Forward']",ERROR
s243,319,"['Forward', 'Forward']",ERROR
s243,319,"['Forward', 'Forward']",ERROR
s243,319,"['Forward', 'Forward']",ERROR
s243,319,"['Forward', 'Turn Right']",ERROR
s243,319,"['Forward', 'Turn Right']",ERROR
s243,319,"['Forward', 'Turn Right']",ERROR
s243,319,"['Forward', 'Turn Right']",ERROR
s243,319,"['Forward', 'Turn Right']",ERROR
s243,319,"['Forward', 'Turn Right']",ERROR
s243,319,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Turn Right', 'Forward', 'Forward']",ERROR
s243,319,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",.
s243,319,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",.
s243,319,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",ERROR
s243,315,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right']",COMPLETED
s243,320,"[]",.
s243,320,"['Forward', 'Turn Right']",ERROR
s243,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down']",.
s243,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down']",.
s243,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Forward']",ERROR
s243,320,"['Forward', 'Forward', 'Forward', 'Turn Right']",ERROR
s243,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Forward']",ERROR
s243,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Forward']",ERROR
s243,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Forward']",ERROR
s243,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Forward', 'Forward', 'Turn Right']",ERROR
s243,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Forward', 'Forward', 'Turn Right']",ERROR
